type	latitude	longitude	altitude (m)	name	desc
T	20.022622015	72.824957119	278.6	eleva	
T	19.992786435	72.882438666	81.9		
T	19.983167884	72.916579530	73.1		
T	19.984378183	72.972786058	127.6		
T	19.985570091	73.028957836	101.9		
T	19.986750642	73.085072837	234.2		
T	19.987227511	73.107478369	164.2		
T	19.988634878	73.174682496	389.7		
T	19.989785376	73.230655628	350.3		
T	19.991142133	73.297781448	225.2		
T	20.002134808	73.330981722	357.7		
T	20.034195519	73.385846010	303.9		
T	20.055519738	73.418582520	482.5		
T	20.087408600	73.462029045	503.6		
T	20.119081314	73.494293391	380.6		
T	20.161091076	73.526164999	404.1		
T	20.192741363	73.558453929	444.7		
T	20.244695810	73.567612258	500.1		
T	20.286496869	73.588353627	517.7		
T	20.327920962	73.586753532	564.7		
T	20.400623747	73.595135715	472.1		
T	20.442075612	73.593535901	493.7		
T	20.493905742	73.591534502	416.5		
T	20.525714514	73.635115665	491.3		
T	20.526233983	73.668689657	603.6		
T	20.527252588	73.735803526	854.6		
T	20.527917062	73.780520471	950.1		
T	20.528244913	73.802871489	1064.2		
T	20.528945134	73.847468127	711.7		
T	20.550785360	73.913427619	750.6		
T	20.582585513	73.956794938	637.4		
T	20.624549293	73.988700656	784.4		
T	20.666507627	74.020624323	755.9		
T	20.697929755	74.041798710	783.8		
T	20.750093759	74.062250022	1158.0		
T	20.791994174	74.082944056	685.9		
T	20.834001253	74.114863026	818.7		
T	20.886004502	74.124254782	582.1		
T	20.938148014	74.144826918	511.2		
T	20.979790277	74.154592122	506.6		
T	21.031943114	74.175192208	524.5		
T	21.094398702	74.184245255	677.0		
T	21.126027006	74.205316370	551.0		
T	21.178392308	74.214456407	549.3		
T	21.220492085	74.235150524	516.4		
T	21.252151938	74.256256998	446.5		
T	21.304876229	74.287746673	322.4		
T	21.326089600	74.309275709	299.2		
T	21.358199665	74.363895121	303.7		
T	21.400471670	74.395849342	152.0		
T	21.421398226	74.395095235	132.4		
T	21.484411704	74.426510330	122.4		
T	21.526073290	74.425202196	126.0		
T	21.578165597	74.423565532	139.3		
T	21.609429059	74.422582762	149.7		
T	21.661285325	74.398567330	182.5		
T	21.692480931	74.386347155	240.7		
T	21.754784265	74.350661457	595.6		
T	21.796338679	74.326840516	597.3		
T	21.816749240	74.269932531	461.8		
T	21.816248988	74.225021852	337.0		
T	21.815736465	74.180098081	406.8		
T	21.815230722	74.123795734	372.6		
T	21.814491765	74.044927439	462.7		
T	21.772213751	74.012735288	675.7		
T	21.741169229	74.047677226	609.2		
T	21.773083463	74.102852460	471.7		
T	21.794310920	74.135888707	446.2		
T	21.826382748	74.190917185	385.6		
T	21.858568814	74.245855099	336.5		
T	21.859057146	74.290783201	377.2		
T	21.849017369	74.336092335	303.9		
T	21.818289960	74.415803041	708.4		
T	21.797612919	74.450203983	836.0		
T	21.766607467	74.484827637	395.1		
T	21.735790512	74.530565387	298.3		
T	21.694389646	74.554155069	229.7		
T	21.652852230	74.566565349	195.2		
T	21.601207403	74.601574164	192.1		
T	21.559696457	74.613950868	214.4		
T	21.518287129	74.637498247	198.1		
T	21.476837196	74.661063647	199.9		
T	21.425247124	74.707185424	150.6		
T	21.404923600	74.752330795	151.0		
T	21.395005076	74.797149369	153.4		
T	21.395366731	74.830530455	161.8		
T	21.385431660	74.875316582	163.1		
T	21.375554546	74.920037832	171.8		
T	20.472981311	74.877804531	353.4		
T	21.345653846	75.031874513	364.8		
T	21.335758276	75.076521517	295.8		
T	21.315465871	75.121405812	234.5		
T	21.305703701	75.177079214	225.9		
T	21.285648753	75.244056945	221.5		
T	21.265514365	75.311021154	204.5		
T	21.245161405	75.355790844	200.0		
T	21.235238280	75.400276906	197.1		
T	21.204786221	75.456188091	186.1		
T	21.174325530	75.512057484	182.7		
T	21.143856551	75.567885036	173.5		
T	21.123769801	75.623458946	155.5		
T	21.113793184	75.656746011	181.6		
T	21.093705166	75.712266052	161.6		
T	21.083809154	75.756562630	189.7		
