DateTime(Local),Actual,Forecast(1 hour ahead),Forecast(2 hours ahead),Forecast(24 hours ahead)
01-Jan-2019 01:00:00,0.00,0.00,0.00,0.00
01-Jan-2019 02:00:00,0.00,0.00,0.00,0.00
01-Jan-2019 03:00:00,0.00,0.00,0.00,0.00
01-Jan-2019 04:00:00,0.00,0.00,0.00,0.00
01-Jan-2019 05:00:00,0.00,0.00,0.00,0.00
01-Jan-2019 06:00:00,0.00,0.00,0.00,0.00
01-Jan-2019 07:00:00,0.00,0.00,0.00,0.00
01-Jan-2019 08:00:00,0.00,0.00,0.00,0.00
01-Jan-2019 09:00:00,0.00,0.00,0.00,0.00
01-Jan-2019 10:00:00,0.00,0.00,0.00,0.00
01-Jan-2019 11:00:00,83.31,61.89,58.50,61.77
01-Jan-2019 12:00:00,100.00,84.40,84.40,84.28
01-Jan-2019 13:00:00,87.65,79.28,79.28,78.93
01-Jan-2019 14:00:00,83.25,75.95,75.95,75.83
01-Jan-2019 15:00:00,66.95,75.48,75.48,74.08
01-Jan-2019 16:00:00,88.72,78.74,78.74,73.49
01-Jan-2019 17:00:00,71.01,81.95,81.95,73.84
01-Jan-2019 18:00:00,30.52,53.82,53.82,49.79
01-Jan-2019 19:00:00,2.89,0.00,0.00,0.00
01-Jan-2019 20:00:00,0.00,0.00,0.00,0.00
01-Jan-2019 21:00:00,0.00,0.00,0.00,0.00
01-Jan-2019 22:00:00,0.00,0.00,0.00,0.00
01-Jan-2019 23:00:00,0.00,0.00,0.00,0.00
02-Jan-2019 00:00:00,0.00,0.00,0.00,0.00
02-Jan-2019 01:00:00,0.00,0.00,0.00,0.00
02-Jan-2019 02:00:00,0.00,0.00,0.00,0.00
02-Jan-2019 03:00:00,0.00,0.00,0.00,0.00
02-Jan-2019 04:00:00,0.00,0.00,0.00,0.00
02-Jan-2019 05:00:00,0.00,0.00,0.00,0.00
02-Jan-2019 06:00:00,0.00,0.00,0.00,0.00
02-Jan-2019 07:00:00,0.00,0.00,0.00,0.00
02-Jan-2019 08:00:00,0.00,0.00,0.00,0.00
02-Jan-2019 09:00:00,0.00,0.00,0.00,0.00
02-Jan-2019 10:00:00,0.00,0.45,0.01,0.60
02-Jan-2019 11:00:00,23.18,44.25,54.93,56.21
02-Jan-2019 12:00:00,76.12,60.46,62.32,75.64
02-Jan-2019 13:00:00,67.47,54.07,59.17,70.58
02-Jan-2019 14:00:00,68.35,67.52,59.03,62.69
02-Jan-2019 15:00:00,69.50,60.79,59.83,61.16
02-Jan-2019 16:00:00,51.98,48.99,49.49,62.92
02-Jan-2019 17:00:00,74.22,76.28,52.60,46.13
02-Jan-2019 18:00:00,30.67,43.59,47.62,25.11
02-Jan-2019 19:00:00,0.00,0.00,0.63,1.20
02-Jan-2019 20:00:00,0.00,0.00,0.00,0.00
02-Jan-2019 21:00:00,0.00,0.00,0.00,0.00
02-Jan-2019 22:00:00,0.00,0.00,0.00,0.00
02-Jan-2019 23:00:00,0.00,0.00,0.00,0.00
